timestamp,fivegs_pcffunction_pa_policysmassosucc_value,fivegs_pcffunction_pa_sessionnbr_value,fivegs_smffunction_sm_n4sessionreportsucc_value,fivegs_smffunction_sm_pdusessioncreationreq_value,fivegs_smffunction_sm_qos_flow_nbr_value,application,log_type
2025-04-22 09:39:27,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:28,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:29,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:30,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:31,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:32,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:33,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:34,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:35,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:36,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:37,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:38,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:39,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:40,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:41,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:42,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:43,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:44,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:45,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:46,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:47,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:48,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:49,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:50,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:51,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:52,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:53,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:54,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:55,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:56,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:57,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:58,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:39:59,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:00,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:01,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:02,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:03,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:04,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:05,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:06,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:07,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:08,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:09,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:10,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:11,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:12,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:13,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:14,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:15,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:16,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:17,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:18,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:19,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:20,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:21,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:22,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 09:40:23,10.0,4.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 10:16:37,10.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 10:16:38,10.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 10:16:39,10.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 10:16:40,10.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 10:16:41,10.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 10:16:42,10.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 10:16:43,10.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 10:16:44,10.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 10:16:45,10.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 10:16:46,10.0,0.0,0.0,10.0,10.0,0.0,0.0
2025-04-22 10:16:47,10.0,0.0,0.0,10.0,10.0,0.0,0.0
