timestamp,application,log_level,log_message
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/context.c:457)
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.35:7777] (../lib/sbi/context.c:505)
2025-03-19 20:27:59,sbi,INFO,NF Service [nausf-auth] (../lib/sbi/context.c:1970)
2025-03-19 20:27:59,sbi,INFO,nghttp2_server() [http://172.22.0.11]:7777 (../lib/sbi/nghttp2-server.c:435)
2025-03-19 20:27:59,app,INFO,AUSF initialize...done (../src/ausf/app.c:31)
2025-03-19 20:27:59,sbi,INFO,[44569c7a-04f8-41f0-840f-57865fc1d60b] NF registered [Heartbeat:10s] (../lib/sbi/nf-sm.c:208)
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:27:59,sbi,INFO,"[44586776-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:27:59.353175+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:27:59,sbi,INFO,"[445872f2-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:27:59.353783+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:28:09,app,INFO,Configuration: '/open5gs/install/etc/open5gs/pcf.yaml' (../lib/app/ogs-init.c:144)
2025-03-19 20:28:09,app,INFO,File Logging: '/open5gs/install/var/log/open5gs/pcf.log' (../lib/app/ogs-init.c:147)
2025-03-19 20:28:09,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/context.c:457)
2025-03-19 20:28:09,sbi,INFO,NF EndPoint(addr) setup [172.22.0.35:7777] (../lib/sbi/context.c:505)
2025-03-19 20:28:09,metrics,INFO,metrics_server() [http://172.22.0.27]:9091 (../lib/metrics/prometheus/context.c:299)
2025-03-19 20:28:09,dbi,INFO,MongoDB URI: 'mongodb://172.22.0.2/open5gs' (../lib/dbi/ogs-mongoc.c:130)
2025-03-19 20:28:09,sbi,INFO,NF Service [npcf-am-policy-control] (../lib/sbi/context.c:1970)
2025-03-19 20:28:09,sbi,INFO,NF Service [npcf-smpolicycontrol] (../lib/sbi/context.c:1970)
2025-03-19 20:28:09,sbi,INFO,NF Service [npcf-policyauthorization] (../lib/sbi/context.c:1970)
2025-03-19 20:28:09,sbi,INFO,nghttp2_server() [http://172.22.0.27]:7777 (../lib/sbi/nghttp2-server.c:435)
2025-03-19 20:28:09,app,INFO,PCF initialize...done (../src/pcf/app.c:31)
